,내용
1364,며 .사랑의열매도 프로축구를 통해 사회적 가치창출에 함께 하게 돼 감사드리며 스포츠 뿐만 아니라 다양한 분야에서도 친환경 문화조성을 위해 최선을 다하겠다
1365,고 말했다
1366, 온라인 중앙일보다
1367,최근 뉴스를 보다 보면 훈훈한 동물 친구 이야기가 종종 등장합니다
1368, 우리나라에선 .년 천연기념물로 지정됐고 환경부 멸종위기 야생생물 .급에 올랐죠. 세계자연보전연맹 적색자료집 의 위기근접종으로 세계 각국의 보호를 받고 있습니다
1369, 한강의 경우 .년 팔당댐 준공 이후 수달이 팔당댐 하류에서 발견됐다는 공식 기록은 .년 동안 없었습니다
1370, 어떻게 하면 수달이 대도시인 서울 한강에서 건강하게 살아갈 수 있을까 알아보기 위해 소중 학생기자단은 강원도 화천에 있는 한국수달연구센터를 찾았어요. 수달은 어떤 동물일까 한국수달연구센터에 들어서자 로비 한쪽에 놓인 커다란 모니터가 눈에 띄었습니다
1371, 일단 생김새부터 달라요. 주연 학생기자가 이어서 질문했죠. .아마존에 사는 큰수달이 집단행동을 하는 이유는 무엇인가요. 유튜브에서 보니까 덩치도 크고 힘세 보이던데요. .아마존에는 재규어.아나콘다 등 큰수달을 위협할 만한 포식자가 상대적으로 많습니다
1372, 수달이 멸종위기에 처한 이유로는 크게 밀렵 로드킬 댐.도로 등의 건설로 인한 서식지 단절 어망으로 인한 익사사고가 있는데 모두 인간으로 인해 벌어졌죠. 송유진 연구원이 소중 학생기자단에게 수달에 대해 설명하고 있다
1373, 물속 생활을 하는 수달의 모피는 이중털 구조로 바깥 털이 안쪽 털을 덮어 잠수할 때 방수 및 체온 유지 역할을 하고 털 밀도 또한 포유류 중 가장 높은 편이죠. 보온.방수 효과가 뛰어난 수달 모피를 탐낸 인간들은 예로부터 수달 사냥을 많이 했습니다
1374, 이후 수달을 보호하자는 목소리가 나오기 시작했지만 세계 경제가 성장하기 시작하면서 수달의 위기는 계속됩니다
1375, 바다에 사는 해달도 수달의 한 종류다
1376, 동물원.영상 밖에서 만난 수달 소중 학생기자단은 야생동물을 촬영하는 무인카메라에 이어 수달 발자국과 배설물 등 여러 표본을 살펴봤습니다
1377, 수달은 발가락이 .개고 사이에 물갈퀴가 있어 발자국을 구별하기가 비교적 쉬운 편이에요. 행동이 잽싼 수달을 카메라에 찍힌 모습만 보고 생김새로 구별하기 어렵기 때문에 신선한 배설물을 가지고 유전자 감식 작업을 하기도 합니다
1378, .수달이 메기를 좋아하나요 야행성인 수달은 어두운데 어떻게 먹이를 찾나요. 주연 학생기자의 질문에 송 연구원은 .메기도 잘 먹지만 장어를 좀 더 좋아한다
1379,며 .수달의 수염이 어둡고 컴컴한 물속에서 미세한 파동을 감지해 먹이를 찾는 레이더 같은 역할을 한다
1380, 센터에선 현재 .마리의 수달을 보호 중입니다
1381, 세 사람은 모두 눈을 부릅뜨고 관찰했지만 첫눈에 알아보기는 쉽지 않네요. 수리와 달이는 순식간에 연못을 가로지르고 바위에 잠깐 올라 쉬다가 다시 헤엄치기를 반복했습니다
1382, 그 움직임에 따라 소중 학생기자단의 시선도 바쁘게 움직였죠. 이어 송 연구원이 메기 두 마리를 풀어줬어요. 메기가 물에 들어가기가 무섭게 수리와 달이가 달려듭니다
1383, 퍼덕퍼덕 첨벙첨벙 소리가 나더니 .우와. 각자 한 마리씩 입에 물고 바위 위로 올라왔죠. 메기가 꿈틀대며 도망치려 하자 앞발로 꼭 잡고 물어뜯었습니다
1384, 천연기념물 제.호이자 환경부 멸종위기 야생생물 .급 수달은 귀여운 외모와 달리 하천 생태계 최상위 포식자다
1385, 윤채 학생모델이 .수달도 훈련이 되는지 테마파크 수달은 제법 훈련사를 따르던데 수달의 지능은 어떤지 비슷한 지능의 동물은 누군지. 질문했죠. 송 연구원은 .수달의 지능은 개랑 비슷한 수준.이라며 .충분히 훈련이 가능하다
1386, 한국수달연구센터를 찾은 소중 학생기자단이 보호 중인 수달을 관찰하고 있다
1387, 왼쪽부터 오주연 학생기자와 노윤채 학생모델 박시은 학생기자. 시은 학생기자가 .수달 이름이 연예인 이름 같다
1388,고 하자 송 연구원이 고개를 끄덕였죠. 예쁘게 잘 자라라고 연예인 이름을 붙이곤 하는데요. 송 연구원은 한 수달에게 애니메이션 .주토피아. 주인공에서 딴 쥬디라는 이름을 붙여줬다고 합니다
1389, 귀여운 수달에 흠뻑 빠진 윤채 학생모델이 말을 이었죠. .유튜브에서 가정이나 소규모 동물원에서 수달을 키우는 걸 봤는데요. 개인이 수달을 키울 수 있나요. .우리나라에 사는 유라시아 수달은 천연기념물이기 때문에 개인이 기르지 못합니다
1390, 유튜브에서 보는 소규모 동물원과 아쿠아리움의 경우는 동남아시아에서 온 작은발톱수달이에요. 작은발톱수달도 동물원 허가를 받아야 키울 수 있게 됩니다
1391, 송 연구원은 .이제 곧 장마가 올 텐데 장마철에 물이 불면 휩쓸려 내려온 수달 구조 신고가 늘어난다
1392,며 행동 요령을 당부했어요. .수달이 혼자 있다고 해서 데려오면 절대 안 됩니다
1393, 멸종위기 수달 보호하기 .서울을 비롯한 여러 도시에서 수달이 목격됐다는 기사를 봤는데 수달이 왜 도시로 온 걸까요. 시은 학생기자의 질문에 송 연구원은 .도시는 지구에서 가장 빠르게 늘어나고 있는 서식지.라고 답했습니다
1394, 이런 복원.정화작업을 통해 도시에서도 동물들이 살 수 있는 환경이 조성됐어요. 소중 학생기자단이 한국수달연구센터를 찾아 수달의 기본 생태부터 차근차근 알아봤다
1395, 이처럼 수달이 안전하게 지내고 돌아다닐 환경을 마련해주는 것이 중요하고요. 환경을 깨끗하게 유지하면서 수달이 포식할 수 있는 먹이자원이 풍부해져야 합니다
1396,며 .한강도 수달이 충분히 헤엄칠 수 있는 거리고 북쪽과 남쪽의 수달도 어쩌면 같은 수달일지도 모른다
1397,고 얘기했죠. 다양한 수달 사진을 살펴보는 소중 학생기자단이 수달의 귀여움에 흠뻑 빠졌다
1398, .수달이 멸종하는 것을 막고 주변에서 자주 보려면 우리가 어떤 노력을 해야 할까요. 주연 학생기자의 질문에 .먼저 생명과 자연을 보존하고자 하는 마음가짐을 갖는 것이 중요하다
1399,는 답이 돌아왔습니다
1400,고 말했어요. .많이 개발돼 야생동물 입장에선 열악한 환경에 수달이 나타난 겁니다
1401, 백 연구원은 .서울에서 조사 중인 공간들은 현재 서식처라기보단 잠깐씩 머무는 수달의 행동권이라고 생각한다
1402,고 설명했죠 .흔적을 남긴 수달이 동일한 개체인지 다른 개체인지는 유전자 등 전문적인 분석이 필요해요. 외관만으로 판단하기엔 의심 가는 부분이 많거든요. 모니터링 땐 수달이 쓸 만한 은신처가 보여도 모른 척 지나갑니다
1403, 지난해 겨울부터 본격적으로 수달을 지키는 활동에 나선 한강조합에선 지난 .월 물의 날을 맞아 .여 명이 참여해 하천을 청소하기도 했죠. 식생이 잘 갖춰져 먹이가 충분한 자연성이 회복된 한강을 만들기 위해서입니다
1404, 노윤채서울 명덕초 . 학생모델 수달을 직접 본 적은 한 번도 없어서 어떻게 생겼고 어떤 특징이 있는지 인터넷으로 찾아보았음에도 불구하고 수달연구센터에서 보게 되니 너무나 신기했죠. 수달의 재능과 지능은 놀라웠습니다
1405, 수달이 약을 먹기 싫어해서 벌어진 이야기를 들으며 생각보다 아주 똑똑하다는 인상을 받았죠. 이렇게 너무나 귀엽고 똑똑하고 우리 생활과 생태계에서 굉장히 중요한 역할을 맡은 수달이 멸종될 수 있다니 아쉽습니다
1406, 이번 취재를 통해 배운 수달의 중요성과 특징을 잘 기억해두었다가 수달을 찾아보고 싶고 친구들에게 수달의 특징을 잘 알려주고 싶습니다
1407, 박시은서울 여의도초 . 학생기자 귀여운 얼굴에 반대되는 성격을 가진 수달 이번 취재를 계기로 더 자세히 알게 되었습니다
1408, 수달의 종류와 살아가는 방법은 다양한데요. 종류는 .종이며 사는 환경과 기후에 따라 생존 방법 또한 각각 다르죠. 귀여운 얼굴로 맑은 물속에서 가족 또는 친구들과 뒤엉켜 노는 수달을 실제로 바라보니 갑자기 미안한 마음이 들었습니다
1409, 수달이 살아가기 위해 맑은 물이 중요한데 빠른 발전과 편안함만 추구하느라 환경오염이 심각해졌기 때문이었죠. 연구원님 또한 일회용품 사용 줄이기나 분리수거 등등 잘 지켜주길 바란다고 하셔서 저 또한 앞으로 가장 기본적인 생활수칙으로 여기기로 했습니다
1410, 소중 독자 여러분도 수달을 위해 환경을 위해 같이 노력해주세요. 오주연서울 숭인중 . 학생기자 . 김현정 기자 .다
1411,경남 고성군군수 백두현에서는 .월 .일과 .일 양일간 건강도 지키고 환경도 살리는 .석 .조 .니캉내캉 플로깅. 활동을 실시했다
1412, 이번 플로깅 활동은 경남지역 .개 시.군 자원봉사센터 공동실천 행동으로 기후위기 대응 활동 중 하나로 진행됐다
1413, .일 청소년공간협의회 .일 고성사랑회 회원 .여 명이 대독천과 삼산면 해안로 일대를 중심으로 무단으로 버려진 쓰레기 수거 및 수하식 양식 수하밧줄 제거 활동을 실시했다
1414, 활동에 참여한 봉사자는 .환경오염의 심각성을 깨닫는 시간이었다
1415,며 .지구환경을 위해 누구나 쉽게 접근할 수 있는 플로깅 활동에 지속적으로 참여해야겠다
1416,고 소감을 전했다
1417, 군 관계자는 .월 .회 이상 릴레이 형식으로 활동을 실시해 지구위기환경 위기에 대해 위험성을 환기시키고 군민들이 플로깅 활동에 관심과 참여를 유도할 계획이다
1418,고 밝혔다
1419, 고성군에서는 나누.가족봉사단 청소년나누봉사단 고성군청 공무원봉사단 회화초등학생 및 배둔어린이집 원아 및 고성군지역사회보장협의체 위원들과 함께 플로깅 활동을 실시했다
1420, 또한 .년 기후위기대응활동으로 내안의손수건 아이스팩재활용 재활용종이가방만들기 폐우산재활용 등 다양한 영역에서 자원봉사활동을 실시하고 있다
1421, 온라인 중앙일보다
1422,다보스포럼에서 발표한 상위 .대 글로벌 리스크 중 단 한번의 실패로도 가장 큰 영향을 줄 수 있는 것.은 .환경.을 꼽았다
1423, 또한 마이크로소프트는 지구환경 분야에 인공지능을 사용하는 .지구환경 . 프로젝트를 출범하였다
1424, 이처럼 환경 분야는 빅데이터와 인공지능의 활약이 가장 절실한 분야이다
1425, 특히 최근 환경오염미세먼지 유해물질 등 문제와 .로 언택트 시대가 도래하면서 환경 및 보건의료 분야에서 의 활용이 두드러져 앞으로 활용이 보편화될 가능성이 클 것으로 전망된다
1426, 이와 관련 숭실대 조재혁 교수 연구팀은 .종의 환경유해인자 수집 센서 디바이스를 제작 전문시험소한국표준과학연구원 한국전자기술연구원의 랩 테스트챔버 시험 포함를 통해 센서 데이터의 신뢰성을 제고한다
1427, 뿐만 아니라 웨어러블 기기를 통한 건강영향인자 데이터를 동시에 수집하여 환경유해인자가 실거주자의 건강영향에 미치는 상관성 연구도 더불어 진행할 예정이어서 관심이 집중된다
1428, 기존의 연구들은 매체별로 데이터를 가공.분석하여 의사결정모델을 개발하였지만 사업유형별로 환경영향 예측 및 시뮬레이션 기술면에 있어 미흡한 부분이 존재했고 또한 실증으로 연계되기까지 현실적인 어려움과 한계가 있었다
1429, 그러나 이번 연구는 실증을 통한 환경보건 안전망을 강화시키고 다양한 계층의 수요를 충족할 수 있어 맞춤형 환경보건정책 및 서비스에 활용이 가능할 것으로 예상된다
1430, 연구책임자인 숭실대학교 조재혁 교수는 .신규 환경유해인자 발생에 따른 영향 모니터링 및 선제적 예측 등 환경보건 관련 기술 개발을 통해 국민 보건 향상에 힘쓸 것.이라고 전했다
